"Player","Team","Bye","POS","Underdog","ADP"
"Marcus Mariota","WAS","12","QB45","349","349"
"Mac Jones","SF","14","QB46","350","350"
"Drew Lock","SEA","8","QB47","351","351"
"KeAndre Lambert-Smith","LAC","12","WR147","352","352"
"Phil Mafah","DAL","10","RB101","353","353"
"Raheim Sanders","LAC","12","RB102","354","354"
"Kaden Prather","BUF","7","WR148","355","355"
"Leroy Watson IV","MIN","6","TE59","356","356"
"Thomas Fidone II","NYG","14","TE60","357","357"
"LeQuint Allen Jr.","JAC","8","RB103","358","358"
"Austin Reed","CHI","5","QB48","359","359"
"Caleb Lohner","DEN","12","TE61","360","360"
"C.J. Ham","MIN","6","RB104","361","361"
"Jared Wiley","KC","10","TE62","362","362"
"Chris Carson","","","RB105","363","363"
"J.J. Taylor","HOU","6","RB106","364","364"
"Frank Gore Jr.","BUF","7","RB107","365","365"
"Dameon Pierce","HOU","6","RB108","366","366"
"Antonio Gibson","NE","14","RB109","367","367"
"Mason Rudolph","PIT","5","QB49","368","368"
"Stone Smartt","NYJ","9","TE63","369","369"
"Tyler Goodson","IND","11","RB110","370","370"
"Kalif Raymond","DET","8","WR149","371","371"
"Derius Davis","LAC","12","WR150","372","372"
"JuJu Smith-Schuster","KC","10","WR151","373","373"
"Kenny McIntosh","SEA","8","RB111","374","374"
"Van Jefferson","TEN","10","WR152","375","375"
"Ja'Lynn Polk","NE","14","WR153","376","376"
"Colby Parkinson","LAR","8","TE64","377","377"
"Josh Oliver","MIN","6","TE65","378","378"
"Grant Calcaterra","PHI","9","TE66","379","379"
"Brevyn Spann-Ford","DAL","10","TE67","380","380"
"Johnny Wilson","PHI","9","WR154","381","381"
"Zamir White","LV","8","RB112","382","382"
"Chris Brooks","GB","5","RB113","383","383"
"Mecole Hardman Jr.","GB","5","WR155","384","384"
"Nick Mullens","JAC","8","QB50","385","385"
"Jake Browning","CIN","10","QB51","386","386"
"Tyrod Taylor","NYJ","9","QB52","387","387"
"Aidan O'Connell","LV","8","QB53","388","388"
"Andy Dalton","CAR","14","QB54","389","389"
"Cooper Rush","BAL","7","QB55","390","390"
"Xavier Gipson","NYJ","9","WR156","391","391"
"Craig Reynolds","DET","8","RB114","392","392"
"Rondale Moore","MIN","6","WR157","393","393"
"Jonathan Mingo","DAL","10","WR158","394","394"
"Sione Vaki","DET","8","RB115","395","395"
"Quinn Ewers","MIA","12","QB56","396","396"
"Ainias Smith","PHI","9","WR159","397","397"
"Jelani Woods","IND","11","TE68","398","398"
"Tyquan Thornton","KC","10","WR160","399","399"
"Jake Briningstool","KC","10","TE69","400","400"
"Zach Wilson","MIA","12","QB57","401","401"
"Jamari Thrash","CLE","9","WR161","402","402"
"Chase Claypool","","","WR162","403","403"
"Jalen Wayne","","","WR163","404","404"
"Jamal Agnew","ATL","5","WR164","405","405"
"Tre Stewart","MIN","6","RB116","406","406"
"","","","1","407","0"
"Isaiah Neyor","SF","14","WR165","409","407"
"K.J. Osborn","WAS","12","WR166","410","408"
"Gabe Davis","","","WR167","411","409"
"E.J. Jenkins","PHI","9","TE70","412","410"
"Tommy Mellott","LV","8","QB58","413","411"
"Isaiah Bond","","","WR168","414","412"
"Nick Nash","ATL","5","WR169","415","413"
""
""
